ticker,eps_f1,eps_f2,fy1_end,n_analysts,as_of
2059,352.26392,497.7669,2026-12-31,11.0,2026-09-22
2303,6.98465,7.20625,2026-12-31,13.0,2026-09-22
2327,19.725,31.32791,2026-12-31,2.0,2026-09-22
2330,107.82286,142.60616,2026-12-31,23.0,2026-09-22
2344,25.494,50.89581,2026-12-31,6.0,2026-09-22
2376,33.85612,37.25418,2026-12-31,8.0,2026-09-22
2408,69.46359,102.048,2026-12-31,6.0,2026-09-22
2409,1.38553,0.50095,2026-12-31,5.0,2026-09-09
2454,68.03144,145.53404,2026-12-31,16.0,2026-09-22
2455,5.5396,9.2857,2026-12-31,9.0,2026-09-22
2465,,,,,2026-09-22
3034,33.70448,35.32413,2026-12-31,14.0,2026-09-22
3081,19.75802,39.34484,2026-12-31,2.0,2026-09-22
3105,7.6847,9.93347,2026-12-31,9.0,2026-09-22
3163,,,,,2026-09-22
3189,10.41766,26.4672,2026-12-31,11.0,2026-09-22
3324,55.79346,75.15926,2026-12-31,8.0,2026-09-10
3363,0.205,16.925,2026-12-31,2.0,2026-09-22
3450,11.97,11.97,2026-12-31,,2026-09-22
3665,66.32239,114.78879,2026-12-31,2.0,2026-09-22
3711,18.57398,28.04112,2026-12-31,14.0,2026-09-10
4938,5.65238,7.22044,2026-12-31,6.0,2026-09-22
4979,7.39,14.13,2026-12-31,1.0,2026-09-22
5289,353.215,194.82417,2026-12-31,2.0,2026-09-22
5434,30.55,34.41,2026-12-31,3.0,2026-09-22
6442,62.01,130.0,2026-12-31,1.0,2026-09-22
6830,5.13,14.65,2026-12-31,1.0,2026-09-22
8299,366.46234,265.3788,2026-12-31,7.0,2026-09-22
